vehicle_id,vehicle_type,speed,frame_number,timestamp
0,car,0,43,2026-01-14 21:54:08
1,car,0,43,2026-01-14 21:54:08
2,car,0,44,2026-01-14 21:54:08
3,car,0,44,2026-01-14 21:54:08
4,car,0,44,2026-01-14 21:54:08
5,car,0,44,2026-01-14 21:54:08
6,car,0,44,2026-01-14 21:54:08
7,car,0,44,2026-01-14 21:54:08
8,car,0,45,2026-01-14 21:54:08
9,car,0,45,2026-01-14 21:54:08
10,car,0,45,2026-01-14 21:54:08
11,car,0,45,2026-01-14 21:54:08
12,truck,0,45,2026-01-14 21:54:08
13,car,0,45,2026-01-14 21:54:08
14,car,0,46,2026-01-14 21:54:08
15,car,0,46,2026-01-14 21:54:08
16,car,0,46,2026-01-14 21:54:08
17,car,0,46,2026-01-14 21:54:08
18,car,0,47,2026-01-14 21:54:09
19,car,0,49,2026-01-14 21:54:09
20,car,0,50,2026-01-14 21:54:09
21,car,0,50,2026-01-14 21:54:09
22,car,0,50,2026-01-14 21:54:09
23,truck,0,50,2026-01-14 21:54:09
24,car,0,50,2026-01-14 21:54:09
25,car,0,51,2026-01-14 21:54:09
26,car,0,51,2026-01-14 21:54:09
27,truck,0,52,2026-01-14 21:54:09
28,car,0,54,2026-01-14 21:54:09
29,car,0,54,2026-01-14 21:54:09
30,car,0,54,2026-01-14 21:54:09
31,car,0,54,2026-01-14 21:54:09
32,car,0,54,2026-01-14 21:54:09
33,car,0,55,2026-01-14 21:54:09
34,truck,0,55,2026-01-14 21:54:09
35,car,0,57,2026-01-14 21:54:10
36,car,0,65,2026-01-14 21:54:10
37,truck,0,65,2026-01-14 21:54:10
38,car,0,65,2026-01-14 21:54:10
39,car,0,66,2026-01-14 21:54:10
40,car,0,67,2026-01-14 21:54:11
41,car,0,68,2026-01-14 21:54:11
42,car,0,69,2026-01-14 21:54:11
43,car,0,70,2026-01-14 21:54:11
44,truck,0,71,2026-01-14 21:54:11
45,car,0,71,2026-01-14 21:54:11
46,car,0,72,2026-01-14 21:54:11
47,car,0,72,2026-01-14 21:54:11
48,car,0,73,2026-01-14 21:54:11
49,truck,0,73,2026-01-14 21:54:11
50,car,0,74,2026-01-14 21:54:11
51,truck,0,74,2026-01-14 21:54:11
52,car,0,77,2026-01-14 21:54:11
53,car,0,79,2026-01-14 21:54:12
54,car,0,80,2026-01-14 21:54:12
55,car,0,80,2026-01-14 21:54:12
56,truck,0,82,2026-01-14 21:54:12
57,car,0,83,2026-01-14 21:54:12
58,car,0,84,2026-01-14 21:54:12
59,truck,0,84,2026-01-14 21:54:12
60,car,0,85,2026-01-14 21:54:12
61,car,0,86,2026-01-14 21:54:12
62,car,0,87,2026-01-14 21:54:12
63,car,0,88,2026-01-14 21:54:13
64,car,0,89,2026-01-14 21:54:13
65,car,0,92,2026-01-14 21:54:13
66,car,0,92,2026-01-14 21:54:13
67,car,0,92,2026-01-14 21:54:13
68,car,0,92,2026-01-14 21:54:13
69,car,0,96,2026-01-14 21:54:13
70,car,0,96,2026-01-14 21:54:13
71,car,0,96,2026-01-14 21:54:13
72,truck,0,96,2026-01-14 21:54:13
73,car,0,97,2026-01-14 21:54:13
74,car,0,97,2026-01-14 21:54:13
75,car,0,97,2026-01-14 21:54:13
76,car,0,97,2026-01-14 21:54:13
77,car,0,97,2026-01-14 21:54:13
78,car,0,98,2026-01-14 21:54:14
79,car,0,98,2026-01-14 21:54:14
80,car,0,98,2026-01-14 21:54:14
81,car,0,98,2026-01-14 21:54:14
82,car,0,98,2026-01-14 21:54:14
83,car,0,98,2026-01-14 21:54:14
84,car,0,98,2026-01-14 21:54:14
85,truck,0,98,2026-01-14 21:54:14
86,car,0,99,2026-01-14 21:54:14
87,motorcycle,0,101,2026-01-14 21:54:14
88,car,0,102,2026-01-14 21:54:14
89,car,0,102,2026-01-14 21:54:14
90,car,0,106,2026-01-14 21:54:14
91,car,0,107,2026-01-14 21:54:15
92,car,0,107,2026-01-14 21:54:15
93,car,0,107,2026-01-14 21:54:15
94,car,0,108,2026-01-14 21:54:15
95,car,0,109,2026-01-14 21:54:15
96,car,0,109,2026-01-14 21:54:15
97,car,0,109,2026-01-14 21:54:15
98,car,0,109,2026-01-14 21:54:15
99,car,0,110,2026-01-14 21:54:15
100,car,0,110,2026-01-14 21:54:15
101,car,0,110,2026-01-14 21:54:15
102,car,0,110,2026-01-14 21:54:15
103,car,0,110,2026-01-14 21:54:15
104,car,0,110,2026-01-14 21:54:15
105,car,0,110,2026-01-14 21:54:15
106,car,0,110,2026-01-14 21:54:15
107,car,0,110,2026-01-14 21:54:15
108,truck,0,110,2026-01-14 21:54:15
109,car,0,111,2026-01-14 21:54:15
110,bus,0,111,2026-01-14 21:54:15
111,car,0,112,2026-01-14 21:54:15
112,car,0,112,2026-01-14 21:54:15
113,car,0,112,2026-01-14 21:54:15
114,car,0,114,2026-01-14 21:54:15
115,car,0,114,2026-01-14 21:54:15
116,bus,0,115,2026-01-14 21:54:16
117,car,0,115,2026-01-14 21:54:16
118,car,0,116,2026-01-14 21:54:16
119,car,0,117,2026-01-14 21:54:16
120,motorcycle,0,117,2026-01-14 21:54:16
121,truck,0,117,2026-01-14 21:54:16
122,car,0,119,2026-01-14 21:54:16
123,car,0,119,2026-01-14 21:54:16
124,car,0,120,2026-01-14 21:54:16
125,car,0,121,2026-01-14 21:54:16
126,car,0,121,2026-01-14 21:54:16
127,car,0,121,2026-01-14 21:54:16
128,car,0,121,2026-01-14 21:54:16
129,car,0,121,2026-01-14 21:54:16
130,car,0,121,2026-01-14 21:54:16
131,car,0,122,2026-01-14 21:54:16
132,truck,0,123,2026-01-14 21:54:17
133,car,0,124,2026-01-14 21:54:17
134,car,0,124,2026-01-14 21:54:17
135,car,0,125,2026-01-14 21:54:17
